X,SigmoidX,Y
-30,-0.5,-0.485397
-29.99,-0.5,-0.505493
-29.98,-0.5,-0.506962
-29.97,-0.5,-0.501331
-29.96,-0.5,-0.495291
-29.95,-0.5,-0.491785
-29.94,-0.5,-0.49136
-29.93,-0.5,-0.493335
-29.92,-0.5,-0.496608
-29.91,-0.5,-0.50013
-29.9,-0.5,-0.503129
-29.89,-0.5,-0.505163
-29.88,-0.5,-0.506084
-29.87,-0.5,-0.50596
-29.86,-0.5,-0.504999
-29.85,-0.5,-0.503472
-29.84,-0.5,-0.501662
-29.83,-0.5,-0.499827
-29.82,-0.5,-0.498177
-29.81,-0.5,-0.496863
-29.8,-0.5,-0.49598
-29.79,-0.5,-0.495566
-29.78,-0.5,-0.495615
-29.77,-0.5,-0.496079
-29.76,-0.5,-0.496885
-29.75,-0.5,-0.497942
-29.74,-0.5,-0.499147
-29.73,-0.5,-0.500398
-29.72,-0.5,-0.501599
-29.71,-0.5,-0.502664
-29.7,-0.5,-0.503524
-29.69,-0.5,-0.504127
-29.68,-0.5,-0.504442
-29.67,-0.5,-0.504457
-29.66,-0.5,-0.50418
-29.65,-0.5,-0.503636
-29.64,-0.5,-0.502863
-29.63,-0.5,-0.501911
-29.62,-0.5,-0.500837
-29.61,-0.5,-0.499702
-29.6,-0.5,-0.498565
-29.59,-0.5,-0.497485
-29.58,-0.5,-0.496514
-29.57,-0.5,-0.495693
-29.56,-0.5,-0.495058
-29.55,-0.5,-0.49463
-29.54,-0.5,-0.494421
-29.53,-0.5,-0.494432
-29.52,-0.5,-0.494653
-29.51,-0.5,-0.495067
-29.5,-0.5,-0.495647
-29.49,-0.5,-0.496364
-29.48,-0.5,-0.497181
-29.47,-0.5,-0.498061
-29.46,-0.5,-0.498968
-29.45,-0.5,-0.499864
-29.44,-0.5,-0.500717
-29.43,-0.5,-0.501497
-29.42,-0.5,-0.502177
-29.41,-0.5,-0.502738
-29.4,-0.5,-0.503164
-29.39,-0.5,-0.503447
-29.38,-0.5,-0.503583
-29.37,-0.5,-0.503573
-29.36,-0.5,-0.503423
-29.35,-0.5,-0.503143
-29.34,-0.5,-0.502748
-29.33,-0.5,-0.502255
-29.32,-0.5,-0.501681
-29.31,-0.5,-0.501047
-29.3,-0.5,-0.500375
-29.29,-0.5,-0.499685
-29.28,-0.5,-0.498998
-29.27,-0.5,-0.498333
-29.26,-0.5,-0.497708
-29.25,-0.5,-0.497141
-29.24,-0.5,-0.496643
-29.23,-0.5,-0.496229
-29.22,-0.5,-0.495905
-29.21,-0.5,-0.49568
-29.2,-0.5,-0.495556
-29.19,-0.5,-0.495536
-29.18,-0.5,-0.495617
-29.17,-0.5,-0.495796
-29.16,-0.5,-0.496066
-29.15,-0.5,-0.496421
-29.14,-0.5,-0.496851
-29.13,-0.5,-0.497343
-29.12,-0.5,-0.497887
-29.11,-0.5,-0.498468
-29.1,-0.5,-0.499073
-29.09,-0.5,-0.499689
-29.08,-0.5,-0.5003
-29.07,-0.5,-0.500893
-29.06,-0.5,-0.501455
-29.05,-0.5,-0.501974
-29.04,-0.5,-0.502438
-29.03,-0.5,-0.502838
-29.02,-0.5,-0.503165
-29.01,-0.5,-0.503412
-29,-0.5,-0.503574
-28.99,-0.5,-0.503649
-28.98,-0.5,-0.503633
-28.97,-0.5,-0.503528
-28.96,-0.5,-0.503337
-28.95,-0.5,-0.503062
-28.94,-0.5,-0.50271
-28.93,-0.5,-0.502287
-28.92,-0.5,-0.501803
-28.91,-0.5,-0.501266
-28.9,-0.5,-0.500688
-28.89,-0.5,-0.500079
-28.88,-0.5,-0.499451
-28.87,-0.5,-0.498817
-28.86,-0.5,-0.498188
-28.85,-0.5,-0.497576
-28.84,-0.5,-0.496992
-28.83,-0.5,-0.496448
-28.82,-0.5,-0.495953
-28.81,-0.5,-0.495515
-28.8,-0.5,-0.495143
-28.79,-0.5,-0.494843
-28.78,-0.5,-0.49462
-28.77,-0.5,-0.494478
-28.76,-0.5,-0.494418
-28.75,-0.5,-0.49444
-28.74,-0.5,-0.494546
-28.73,-0.5,-0.494731
-28.72,-0.5,-0.494992
-28.71,-0.5,-0.495324
-28.7,-0.5,-0.495721
-28.69,-0.5,-0.496176
-28.68,-0.5,-0.496681
-28.67,-0.5,-0.497228
-28.66,-0.5,-0.497806
-28.65,-0.5,-0.498407
-28.64,-0.5,-0.499021
-28.63,-0.5,-0.499637
-28.62,-0.5,-0.500247
-28.61,-0.5,-0.50084
