X,SigmoidX,Y
-68.01,-0.5,-0.50071
-68,-0.5,-0.500709
-67.99,-0.5,-0.50071
-67.98,-0.5,-0.500703
-67.97,-0.5,-0.500705
-67.96,-0.5,-0.500698
-67.95,-0.5,-0.500697
-67.94,-0.5,-0.500693
-67.93,-0.5,-0.50069
-67.92,-0.5,-0.500681
-67.91,-0.5,-0.500679
-67.9,-0.5,-0.500664
-67.89,-0.5,-0.500671
-67.88,-0.5,-0.500657
-67.87,-0.5,-0.50065
-67.86,-0.5,-0.500643
-67.85,-0.5,-0.500631
-67.84,-0.5,-0.500622
-67.83,-0.5,-0.500614
-67.82,-0.5,-0.500606
-67.81,-0.5,-0.500597
-67.8,-0.5,-0.500573
-67.79,-0.5,-0.500576
-67.78,-0.5,-0.500559
-67.77,-0.5,-0.500544
-67.76,-0.5,-0.500535
-67.75,-0.5,-0.500547
-67.74,-0.5,-0.500514
-67.73,-0.5,-0.5005
-67.72,-0.5,-0.50048
-67.71,-0.5,-0.500468
-67.7,-0.5,-0.500452
-67.69,-0.5,-0.500436
-67.68,-0.5,-0.500421
-67.67,-0.5,-0.500403
-67.66,-0.5,-0.500392
-67.65,-0.5,-0.500369
-67.64,-0.5,-0.500332
-67.63,-0.5,-0.500332
-67.62,-0.5,-0.50032
-67.61,-0.5,-0.500306
-67.6,-0.5,-0.50029
-67.59,-0.5,-0.500269
-67.58,-0.5,-0.500252
-67.57,-0.5,-0.500233
-67.56,-0.5,-0.500212
-67.55,-0.5,-0.500196
-67.54,-0.5,-0.500178
-67.53,-0.5,-0.500159
-67.52,-0.5,-0.500145
-67.51,-0.5,-0.500127
-67.5,-0.5,-0.500101
-67.49,-0.5,-0.500084
-67.48,-0.5,-0.500063
-67.47,-0.5,-0.500046
-67.46,-0.5,-0.500025
-67.45,-0.5,-0.500002
-67.44,-0.5,-0.499985
-67.43,-0.5,-0.499964
-67.42,-0.5,-0.499945
-67.41,-0.5,-0.499927
-67.4,-0.5,-0.499905
-67.39,-0.5,-0.499883
-67.38,-0.5,-0.499863
-67.37,-0.5,-0.499847
-67.36,-0.5,-0.499827
-67.35,-0.5,-0.499803
-67.34,-0.5,-0.499782
-67.33,-0.5,-0.499764
-67.32,-0.5,-0.499745
-67.31,-0.5,-0.499721
-67.3,-0.5,-0.499704
-67.29,-0.5,-0.499684
-67.28,-0.5,-0.499664
-67.27,-0.5,-0.499643
-67.26,-0.5,-0.49962
-67.25,-0.5,-0.499605
-67.24,-0.5,-0.499585
-67.23,-0.5,-0.499562
-67.22,-0.5,-0.499546
-67.21,-0.5,-0.499526
-67.2,-0.5,-0.499509
-67.19,-0.5,-0.499496
-67.18,-0.5,-0.499471
-67.17,-0.5,-0.499455
-67.16,-0.5,-0.499433
-67.15,-0.5,-0.499419
-67.14,-0.5,-0.499401
-67.13,-0.5,-0.499382
-67.12,-0.5,-0.499365
-67.11,-0.5,-0.499346
-67.1,-0.5,-0.499329
-67.09,-0.5,-0.499311
-67.08,-0.5,-0.4993
-67.07,-0.5,-0.49928
-67.06,-0.5,-0.499266
-67.05,-0.5,-0.499248
-67.04,-0.5,-0.499228
-67.03,-0.5,-0.499215
-67.02,-0.5,-0.499198
-67.01,-0.5,-0.499189
-67,-0.5,-0.499167
-66.99,-0.5,-0.499172
-66.98,-0.5,-0.499146
-66.97,-0.5,-0.49912
-66.96,-0.5,-0.499116
-66.95,-0.5,-0.499103
-66.94,-0.5,-0.499094
-66.93,-0.5,-0.499079
