X,SigmoidX,Y
-48.01,-0.5,-0.499695
-48,-0.5,-0.499819
-47.99,-0.5,-0.499943
-47.98,-0.5,-0.500066
-47.97,-0.5,-0.500188
-47.96,-0.5,-0.500309
-47.95,-0.5,-0.500429
-47.94,-0.5,-0.500548
-47.93,-0.5,-0.500666
-47.92,-0.5,-0.500782
-47.91,-0.5,-0.500897
-47.9,-0.5,-0.501009
-47.89,-0.5,-0.501121
-47.88,-0.5,-0.50123
-47.87,-0.5,-0.501337
-47.86,-0.5,-0.501443
-47.85,-0.5,-0.501546
-47.84,-0.5,-0.501646
-47.83,-0.5,-0.501745
-47.82,-0.5,-0.501841
-47.81,-0.5,-0.501935
-47.8,-0.5,-0.502026
-47.79,-0.5,-0.502114
-47.78,-0.5,-0.5022
-47.77,-0.5,-0.502283
-47.76,-0.5,-0.502363
-47.75,-0.5,-0.50244
-47.74,-0.5,-0.502515
-47.73,-0.5,-0.502586
-47.72,-0.5,-0.502655
-47.71,-0.5,-0.502721
-47.7,-0.5,-0.502783
-47.69,-0.5,-0.502843
-47.68,-0.5,-0.502899
-47.67,-0.5,-0.502952
-47.66,-0.5,-0.503003
-47.65,-0.5,-0.50305
-47.64,-0.5,-0.503093
-47.63,-0.5,-0.503134
-47.62,-0.5,-0.503172
-47.61,-0.5,-0.503206
-47.6,-0.5,-0.503238
-47.59,-0.5,-0.503266
-47.58,-0.5,-0.503291
-47.57,-0.5,-0.503313
-47.56,-0.5,-0.503332
-47.55,-0.5,-0.503347
-47.54,-0.5,-0.50336
-47.53,-0.5,-0.50337
-47.52,-0.5,-0.503376
-47.51,-0.5,-0.50338
-47.5,-0.5,-0.50338
-47.49,-0.5,-0.503378
-47.48,-0.5,-0.503373
-47.47,-0.5,-0.503365
-47.46,-0.5,-0.503354
-47.45,-0.5,-0.50334
-47.44,-0.5,-0.503324
-47.43,-0.5,-0.503305
-47.42,-0.5,-0.503283
-47.41,-0.5,-0.503259
-47.4,-0.5,-0.503232
-47.39,-0.5,-0.503202
-47.38,-0.5,-0.503171
-47.37,-0.5,-0.503136
-47.36,-0.5,-0.5031
-47.35,-0.5,-0.503061
-47.34,-0.5,-0.50302
-47.33,-0.5,-0.502976
-47.32,-0.5,-0.502931
-47.31,-0.5,-0.502883
-47.3,-0.5,-0.502834
-47.29,-0.5,-0.502782
-47.28,-0.5,-0.502729
-47.27,-0.5,-0.502674
-47.26,-0.5,-0.502617
-47.25,-0.5,-0.502558
-47.24,-0.5,-0.502498
-47.23,-0.5,-0.502436
-47.22,-0.5,-0.502373
-47.21,-0.5,-0.502308
-47.2,-0.5,-0.502242
-47.19,-0.5,-0.502174
-47.18,-0.5,-0.502106
-47.17,-0.5,-0.502036
-47.16,-0.5,-0.501965
-47.15,-0.5,-0.501893
-47.14,-0.5,-0.50182
-47.13,-0.5,-0.501746
-47.12,-0.5,-0.501671
-47.11,-0.5,-0.501595
-47.1,-0.5,-0.501519
-47.09,-0.5,-0.501442
-47.08,-0.5,-0.501365
-47.07,-0.5,-0.501286
-47.06,-0.5,-0.501208
-47.05,-0.5,-0.501129
-47.04,-0.5,-0.501049
-47.03,-0.5,-0.50097
-47.02,-0.5,-0.50089
-47.01,-0.5,-0.50081
-47,-0.5,-0.50073
-46.99,-0.5,-0.50065
-46.98,-0.5,-0.500569
-46.97,-0.5,-0.500489
-46.96,-0.5,-0.500409
-46.95,-0.5,-0.50033
-46.94,-0.5,-0.50025
-46.93,-0.5,-0.500171
-46.92,-0.5,-0.500092
-46.91,-0.5,-0.500013
-46.9,-0.5,-0.499935
-46.89,-0.5,-0.499858
-46.88,-0.5,-0.499781
-46.87,-0.5,-0.499704
-46.86,-0.5,-0.499628
-46.85,-0.5,-0.499553
-46.84,-0.5,-0.499479
-46.83,-0.5,-0.499406
-46.82,-0.5,-0.499333
-46.81,-0.5,-0.499261
-46.8,-0.5,-0.49919
-46.79,-0.5,-0.49912
-46.78,-0.5,-0.499051
-46.77,-0.5,-0.498983
-46.76,-0.5,-0.498917
-46.75,-0.5,-0.498851
-46.74,-0.5,-0.498786
-46.73,-0.5,-0.498723
-46.72,-0.5,-0.498661
-46.71,-0.5,-0.4986
-46.7,-0.5,-0.498541
-46.69,-0.5,-0.498482
-46.68,-0.5,-0.498426
-46.67,-0.5,-0.49837
-46.66,-0.5,-0.498316
-46.65,-0.5,-0.498263
-46.64,-0.5,-0.498212
-46.63,-0.5,-0.498162
-46.62,-0.5,-0.498114
-46.61,-0.5,-0.498067
-46.6,-0.5,-0.498022
-46.59,-0.5,-0.497979
-46.58,-0.5,-0.497937
-46.57,-0.5,-0.497896
-46.56,-0.5,-0.497858
-46.55,-0.5,-0.497821
-46.54,-0.5,-0.497785
-46.53,-0.5,-0.497751
-46.52,-0.5,-0.497719
-46.51,-0.5,-0.497689
-46.5,-0.5,-0.49766
-46.49,-0.5,-0.497633
-46.48,-0.5,-0.497608
-46.47,-0.5,-0.497584
-46.46,-0.5,-0.497563
-46.45,-0.5,-0.497543
-46.44,-0.5,-0.497524
-46.43,-0.5,-0.497508
-46.42,-0.5,-0.497493
-46.41,-0.5,-0.49748
-46.4,-0.5,-0.497468
-46.39,-0.5,-0.497459
-46.38,-0.5,-0.497451
-46.37,-0.5,-0.497445
-46.36,-0.5,-0.497441
-46.35,-0.5,-0.497438
-46.34,-0.5,-0.497437
-46.33,-0.5,-0.497438
-46.32,-0.5,-0.497441
-46.31,-0.5,-0.497445
-46.3,-0.5,-0.497451
-46.29,-0.5,-0.497459
-46.28,-0.5,-0.497468
-46.27,-0.5,-0.497479
-46.26,-0.5,-0.497492
-46.25,-0.5,-0.497506
-46.24,-0.5,-0.497522
-46.23,-0.5,-0.49754
-46.22,-0.5,-0.497559
-46.21,-0.5,-0.49758
-46.2,-0.5,-0.497602
-46.19,-0.5,-0.497626
-46.18,-0.5,-0.497651
-46.17,-0.5,-0.497678
-46.16,-0.5,-0.497707
-46.15,-0.5,-0.497737
-46.14,-0.5,-0.497768
-46.13,-0.5,-0.497801
-46.12,-0.5,-0.497836
-46.11,-0.5,-0.497871
-46.1,-0.5,-0.497908
-46.09,-0.5,-0.497947
-46.08,-0.5,-0.497986
-46.07,-0.5,-0.498027
-46.06,-0.5,-0.49807
-46.05,-0.5,-0.498113
-46.04,-0.5,-0.498158
-46.03,-0.5,-0.498204
-46.02,-0.5,-0.498251
-46.01,-0.5,-0.4983
-46,-0.5,-0.498349
-45.99,-0.5,-0.4984
-45.98,-0.5,-0.498451
-45.97,-0.5,-0.498504
-45.96,-0.5,-0.498557
-45.95,-0.5,-0.498612
-45.94,-0.5,-0.498667
-45.93,-0.5,-0.498724
-45.92,-0.5,-0.498781
-45.91,-0.5,-0.498839
-45.9,-0.5,-0.498898
-45.89,-0.5,-0.498958
-45.88,-0.5,-0.499019
-45.87,-0.5,-0.49908
-45.86,-0.5,-0.499142
-45.85,-0.5,-0.499204
-45.84,-0.5,-0.499268
-45.83,-0.5,-0.499331
-45.82,-0.5,-0.499396
-45.81,-0.5,-0.499461
-45.8,-0.5,-0.499526
-45.79,-0.5,-0.499592
-45.78,-0.5,-0.499658
-45.77,-0.5,-0.499725
-45.76,-0.5,-0.499792
-45.75,-0.5,-0.499859
-45.74,-0.5,-0.499927
-45.73,-0.5,-0.499995
-45.72,-0.5,-0.500063
-45.71,-0.5,-0.500132
-45.7,-0.5,-0.5002
-45.69,-0.5,-0.500269
-45.68,-0.5,-0.500338
-45.67,-0.5,-0.500407
-45.66,-0.5,-0.500475
-45.65,-0.5,-0.500544
-45.64,-0.5,-0.500613
-45.63,-0.5,-0.500682
-45.62,-0.5,-0.500751
-45.61,-0.5,-0.500819
-45.6,-0.5,-0.500888
-45.59,-0.5,-0.500956
-45.58,-0.5,-0.501024
-45.57,-0.5,-0.501092
-45.56,-0.5,-0.501159
-45.55,-0.5,-0.501226
-45.54,-0.5,-0.501293
-45.53,-0.5,-0.501359
-45.52,-0.5,-0.501425
-45.51,-0.5,-0.501491
-45.5,-0.5,-0.501556
-45.49,-0.5,-0.50162
-45.48,-0.5,-0.501684
-45.47,-0.5,-0.501748
-45.46,-0.5,-0.50181
-45.45,-0.5,-0.501873
-45.44,-0.5,-0.501934
-45.43,-0.5,-0.501995
-45.42,-0.5,-0.502055
-45.41,-0.5,-0.502115
-45.4,-0.5,-0.502173
-45.39,-0.5,-0.502231
-45.38,-0.5,-0.502288
-45.37,-0.5,-0.502345
-45.36,-0.5,-0.5024
-45.35,-0.5,-0.502455
-45.34,-0.5,-0.502508
-45.33,-0.5,-0.502561
-45.32,-0.5,-0.502613
-45.31,-0.5,-0.502664
-45.3,-0.5,-0.502713
-45.29,-0.5,-0.502762
-45.28,-0.5,-0.50281
-45.27,-0.5,-0.502856
-45.26,-0.5,-0.502902
-45.25,-0.5,-0.502946
-45.24,-0.5,-0.50299
-45.23,-0.5,-0.503032
-45.22,-0.5,-0.503073
-45.21,-0.5,-0.503113
-45.2,-0.5,-0.503151
-45.19,-0.5,-0.503189
-45.18,-0.5,-0.503225
-45.17,-0.5,-0.50326
-45.16,-0.5,-0.503294
-45.15,-0.5,-0.503326
-45.14,-0.5,-0.503357
-45.13,-0.5,-0.503387
-45.12,-0.5,-0.503416
-45.11,-0.5,-0.503443
-45.1,-0.5,-0.503469
-45.09,-0.5,-0.503493
-45.08,-0.5,-0.503517
-45.07,-0.5,-0.503538
-45.06,-0.5,-0.503559
-45.05,-0.5,-0.503578
-45.04,-0.5,-0.503596
-45.03,-0.5,-0.503612
-45.02,-0.5,-0.503627
-45.01,-0.5,-0.50364
-45,-0.5,-0.503652
-44.99,-0.5,-0.503663
-44.98,-0.5,-0.503672
-44.97,-0.5,-0.50368
-44.96,-0.5,-0.503686
-44.95,-0.5,-0.503691
-44.94,-0.5,-0.503695
-44.93,-0.5,-0.503697
-44.92,-0.5,-0.503697
-44.91,-0.5,-0.503697
-44.9,-0.5,-0.503694
-44.89,-0.5,-0.503691
-44.88,-0.5,-0.503685
-44.87,-0.5,-0.503679
-44.86,-0.5,-0.503671
-44.85,-0.5,-0.503661
-44.84,-0.5,-0.503651
-44.83,-0.5,-0.503638
-44.82,-0.5,-0.503625
-44.81,-0.5,-0.503609
-44.8,-0.5,-0.503593
-44.79,-0.5,-0.503575
-44.78,-0.5,-0.503556
-44.77,-0.5,-0.503535
-44.76,-0.5,-0.503513
-44.75,-0.5,-0.50349
-44.74,-0.5,-0.503465
-44.73,-0.5,-0.503439
-44.72,-0.5,-0.503412
-44.71,-0.5,-0.503383
-44.7,-0.5,-0.503353
-44.69,-0.5,-0.503322
-44.68,-0.5,-0.503289
